,Round 1,Round 2,Round 3,average
1,12.313313484191895,12.144606590270996,12.472275733947754,12.310065269470215
2,13.671502113342285,13.724095344543457,13.776108741760254,13.723902066548666
4,17.9876651763916,18.438884735107422,18.375385284423828,18.267311731974285
6,15.304448127746582,15.142380714416504,15.31791877746582,15.254915873209635
8,18.237499237060547,18.201915740966797,18.297351837158203,18.245588938395183
16,17.1630802154541,17.6131858825683,17.36090660095215,17.37905756632485
32,17.389074325561523,17.355234146118164,17.79737663269043,17.51389503479004
64,18.198293685913086,17.8895320892334,17.595638275146484,17.894488016764324
128,16.29186248779297,16.015380859375,16.05812644958496,16.121789932250977
