,Round 1,Round 2,Round 3,Average
1,8.589889526367188,8.590093612670898,9.212156295776367,8.797379811604818
2,16.347143173217773,15.930194854736328,15.930194854736328,16.069177627563477
4,17.73064422607422,18.34764862060547,17.630878448486328,17.903057098388672
6,18.22532081604004,18.695533752441406,18.59825325012207,18.50636927286784
8,19.79175567626953,19.56327247619629,19.779857635498047,19.711628595987957
16,19.67475128173828,19.283245086669922,19.283245086669922,19.413747151692707
32,19.878862380981445,19.727678298950195,19.645156860351562,19.750565846761067
64,19.10670280456543,18.956056594848633,19.445701599121094,19.16948699951172
128,20.041318893432617,19.247360229492188,19.741209030151367,19.676629384358723
